date,dining_only_revenue,non_dining_revenue,ppc_spend,meta_spend
19/12/2023,580.392,379871.6704,0,0
20/12/2023,1569.735,675126.0765,0,0
21/12/2023,5909.2224,757597.54,0,0
22/12/2023,4000.0968,710394.0633,0,0
23/12/2023,3810.6,313424.88,0,0
24/12/2023,2773.5,286846.45,0,0
25/12/2023,923.04,304102.178,0,0
26/12/2023,18590.2192,3745952.367,0,0
27/12/2023,17873.48,4420695.297,0,0
28/12/2023,15020.04,3961981.882,0,0
29/12/2023,12055.8068,4338336.217,0,0
30/12/2023,10654.6482,4264885.177,0,0
31/12/2023,9434.4936,3833073.52,0,0
01/01/2024,11981.196,3345980.545,0,0
02/01/2024,9428.09,4042806.722,0,0
03/01/2024,10766.6164,3441003.416,0,0
04/01/2024,13285.44,2061906.634,0,0
05/01/2024,4802.6826,2111142.104,0,0
06/01/2024,10005.792,4371218.481,0,0
07/01/2024,15883.9296,4949574.95,0,0
08/01/2024,13272.8584,2979166.184,0,0
09/01/2024,11764.2528,2759050.244,0,0
10/01/2024,9547.8705,2485017.176,0,0
11/01/2024,4768.544,1036799.633,0,0
12/01/2024,4626.5296,1340234.764,0,0
13/01/2024,9530.748,2866787.76,0,0
14/01/2024,9625.96,3281035.373,0,0
15/01/2024,7311.1104,1652229.653,0,0
16/01/2024,3515.32,1347540.466,0,0
17/01/2024,7371.414,1540108.151,0,0
18/01/2024,970.56,1030187.208,0,0
19/01/2024,3040.96,1110448.274,0,0
20/01/2024,8071,2695571.51,0,0
21/01/2024,5452.08,2305524.722,0,0
22/01/2024,4476.56,1336970.78,0,0
23/01/2024,3952,1269419.851,0,0
24/01/2024,3915.824,1189516.974,0,0
25/01/2024,8346.378,947896.8864,0,0
26/01/2024,7922.2612,1169491.56,0,0
27/01/2024,7299.6,2569942.15,0,0
28/01/2024,5972.2432,2380840.704,0,0
29/01/2024,7510.3966,1570532.308,0,0
30/01/2024,3325.113,1402054.869,0,0
31/01/2024,4766.08,1457755.772,0,0
01/02/2024,5344.814,1054613.648,0,0
02/02/2024,5443.05504,1061017.176,0,0
03/02/2024,10055.2136,2315577.008,0,0
04/02/2024,6879.4556,2701662.257,0,0
05/02/2024,4717.2806,1549011.997,0,0
06/02/2024,8122.6684,1404139.105,0,0
07/02/2024,5733.84,1246617.711,0,0
08/02/2024,3674.25,955301.8809,0,0
09/02/2024,6704.08,919236.9484,0,0
10/02/2024,7946.2992,1935884.121,0,0
11/02/2024,8181.2548,2068126.667,0,0
12/02/2024,5122.6616,1135376.302,0,0
13/02/2024,7479.5808,1159927.864,0,0
14/02/2024,7705.572,1047668.506,0,0
15/02/2024,3069.85,1116356.712,0,0
16/02/2024,3781.7808,1009797.71,0,0
17/02/2024,5513.03,1871334.787,0,0
18/02/2024,4421.376,2458534.274,0,0
19/02/2024,3057.896,1372412.832,0,0
20/02/2024,5598.1184,996321.9872,0,0
21/02/2024,6668.88,1126656.328,0,0
22/02/2024,4069.45,1016121.672,0,0
23/02/2024,1546.4,966745.6644,0,0
24/02/2024,5533.24,2199571.808,0,0
25/02/2024,7149.18,2559407.782,0,0
26/02/2024,5203.06,1363853.709,0,0
27/02/2024,4185.3888,1309235.155,0,0
28/02/2024,7083.6896,1504660.55,0,0
29/02/2024,3413.34,771361.534,0,0
01/03/2024,3064.56,724341.302,0,0
02/03/2024,12163.64,1715089.68,0,0
03/03/2024,7185.984,2070814.623,0,0
04/03/2024,6591.4296,972691.4218,0,0
05/03/2024,3148.5,861745.5776,0,0
06/03/2024,3900.53,811865.8815,0,0
07/03/2024,1639.05,780843.7911,0,0
08/03/2024,7408.454,865404.3336,0,0
09/03/2024,5697.2698,1555062.026,0,0
10/03/2024,5693.9,1619931.046,0,0
11/03/2024,5413.814,1034039.286,118.2199,0
12/03/2024,2402.4,806418.7161,158.8709,0
13/03/2024,4071.152,1002301.984,162.8466,0
14/03/2024,1217.7,809388.9992,275.564,0
15/03/2024,2191.5,933941.7512,269.3383,0
16/03/2024,6170,1561529.446,320.436,0
17/03/2024,1526.7,1712715.194,365.2558,0
18/03/2024,7966.3612,1130287.173,253.896,0
19/03/2024,2102.78,883230.1593,273.5685,0
20/03/2024,3280.2428,836893.4206,343.764,0
21/03/2024,10730.1072,915617.5664,523.5678,107.6352
22/03/2024,4532.4412,977462.036,511.9296,140.6864
23/03/2024,4965.55,2068103.586,690.9408,149.4126
24/03/2024,4989.18,1628709.957,569.8374,143.5168
25/03/2024,5348.7,1173919.148,671.1383,125.7105
26/03/2024,2689.335,1119434.544,674.7795,149.2272
27/03/2024,4258.68,1009988.846,719.9952,146.2499
28/03/2024,520.38,1310234.903,795.6048,116.4989
29/03/2024,6846.992,2425468.515,975.4773,143.679
30/03/2024,5487.2848,2830856.268,717.2663,134.0178
31/03/2024,5514.4,799950.432,839.2461,132.9552
01/04/2024,13042.912,4181123.923,886.2816,149.7984
02/04/2024,8050.32,2099178.027,845.975,119.284
03/04/2024,5800.5,1846128.539,620.7243,142.72
04/04/2024,6856.7488,1507592.586,447.1056,138.1142
05/04/2024,4612.96,1275593.436,485.6933,142.7125
06/04/2024,6897.9568,2336824.747,883.062,122.4424
07/04/2024,9318.1172,2359286.658,884.5364,126.0135
08/04/2024,7244,1499748.336,511.785,70.136
09/04/2024,4682.7,1451455.622,527.6173,108.564
10/04/2024,3416.12,933252.5884,508.4016,102.4631
11/04/2024,2854.103,1069615.641,544.2528,129.495
12/04/2024,2182.84,1149055.499,418.5936,127.5176
13/04/2024,8259.01,2344983.175,549.891,125.0924
14/04/2024,8134.9248,2399195.233,634.3233,127.701
15/04/2024,4971.56,1737494.875,376.7445,134.4555
16/04/2024,4175.55,1621992.187,348.2745,110.2128
17/04/2024,4061.2,708327.3022,285.098,101.6736
